FileName	Channel	Chem	Dose	Cond	Treatm	Name	Group
Cy3_DEP_High_Cy5_DEP_Low_253100010006_1_2.txt	Cy3	DEP	High	DEP_chem	chem	DEP_High_na_Cy3_rep1	DEPHighchem
Cy3_DEP_High_Cy5_DEP_Perm_Ctrl_253100010017_1_1.txt	Cy3	DEP	High	DEP_chem	chem	DEP_High_na_Cy3_rep2	DEPHighchem
Cy3_DEP_High_Cy5_SDS_High_253100010033_2_1.txt	Cy3	DEP	High	DEP_chem	chem	DEP_High_na_Cy3_rep3	DEPHighchem
Cy3_Perm_High_Cy5_DEP_High_253100010009_2_2.txt	Cy5	DEP	High	DEP_chem	chem	DEP_High_na_Cy5_rep1	DEPHighchem
Cy3_AA_High_Cy5_DEP_High_253100010018_1_3.txt	Cy5	DEP	High	DEP_chem	chem	DEP_High_na_Cy5_rep2	DEPHighchem
Cy3_DEP_Perm_SC_Cy5_DEP_High_253100010035_2_2.txt	Cy5	DEP	High	DEP_chem	chem	DEP_High_na_Cy5_rep3	DEPHighchem
Cy3_DEP_Low_Cy5_DEP_Perm_SC_253100010033_1_4.txt	Cy3	DEP	Low	DEP_chem	chem	DEP_Low_na_Cy3_rep1	DEPLowchem
Cy3_DEP_Low_Cy5_Perm_Low_253100010017_1_3.txt	Cy3	DEP	Low	DEP_chem	chem	DEP_Low_na_Cy3_rep2	DEPLowchem
Cy3_DEP_Low_Cy5_SDS_Low_253100010035_2_3.txt	Cy3	DEP	Low	DEP_chem	chem	DEP_Low_na_Cy3_rep3	DEPLowchem
Cy3_DEP_High_Cy5_DEP_Low_253100010006_1_2.txt	Cy5	DEP	Low	DEP_chem	chem	DEP_Low_na_Cy5_rep1	DEPLowchem
Cy3_AA_Low_Cy5_DEP_Low_253100010008_1_4.txt	Cy5	DEP	Low	DEP_chem	chem	DEP_Low_na_Cy5_rep2	DEPLowchem
Cy3_DEP_Perm_Ctrl_Cy5_DEP_Low_253100010014_2_3.txt	Cy5	DEP	Low	DEP_chem	chem	DEP_Low_na_Cy5_rep3	DEPLowchem
Cy3_DEP_Perm_Ctrl_Cy5_DEP_Low_253100010014_2_3.txt	Cy3	DEP	Perm	DEP_Ctrl	Ctrl	DEP_Perm_Ctrl_Cy3_rep1	DEPPermCtrl
