File	Channel	Chem	Dose	Treatm	Name
Cy3_DCP_High_Cy5_Fluc_High_253100010016_1_2.txt	Cy5	Fluc	High	na	Fluc_High_na_Cy5_rep2
Cy3_DMP_High_Cy5_Fluc_High_253100010034_1_3.txt	Cy5	Fluc	High	na	Fluc_High_na_Cy5_rep3
Cy3_Fluc_Low_Cy5_Acro_Low_253100010007_2_2.txt	Cy3	Fluc	Low	na	Fluc_Low_na_Cy3_rep1
Cy3_Fluc_Low_Cy5_DCP_Fluc_SC_253100010034_2_2.txt	Cy3	Fluc	Low	na	Fluc_Low_na_Cy3_rep2
Cy3_Fluc_Low_Cy5_DCP_Low_253100010032_1_4.txt	Cy3	Fluc	Low	na	Fluc_Low_na_Cy3_rep3
Cy3_Fluc_High_Cy5_Fluc_Low_253100010007_1_2.txt	Cy5	Fluc	Low	na	Fluc_Low_na_Cy5_rep1
Cy3_DCP_Fluc_Ctrl_Cy5_Fluc_Low_253100010023_2_4.txt	Cy5	Fluc	Low	na	Fluc_Low_na_Cy5_rep2
Cy3_DMP_Low_Cy5_Fluc_Low_253100010036_2_2.txt	Cy5	Fluc	Low	na	Fluc_Low_na_Cy5_rep3
Cy3_Lind_High_Cy5_AA_High_253100010014_2_2.txt	Cy3	Lind	High	na	Lind_High_na_Cy3_rep1
Cy3_Lind_High_Cy5_AA_Lind_Ctrl_253100010035_1_3.txt	Cy3	Lind	High	na	Lind_High_na_Cy3_rep2
Cy3_Lind_High_Cy5_Perm_High_253100010008_2_3.txt	Cy3	Lind	High	na	Lind_High_na_Cy3_rep3
Cy3_Lind_Low_Cy5_Lind_High_253100010005_2_3.txt	Cy5	Lind	High	na	Lind_High_na_Cy5_rep1
Cy3_AA_Lind_SC_Cy5_Lind_High_253100010016_2_3.txt	Cy5	Lind	High	na	Lind_High_na_Cy5_rep2
Cy3_Esfen_High_Cy5_Lind_High_253100010032_2_4.txt	Cy5	Lind	High	na	Lind_High_na_Cy5_rep3
Cy3_Lind_Low_Cy5_AA_Lind_SC_253100010014_2_1.txt	Cy3	Lind	Low	na	Lind_Low_na_Cy3_rep1
Cy3_Lind_Low_Cy5_Lind_High_253100010005_2_3.txt	Cy3	Lind	Low	na	Lind_Low_na_Cy3_rep2
Cy3_Lind_Low_Cy5_Perm_Low_253100010008_2_2.txt	Cy3	Lind	Low	na	Lind_Low_na_Cy3_rep3
Cy3_AA_Low_Cy5_Lind_Low_253100010016_2_4.txt	Cy5	Lind	Low	na	Lind_Low_na_Cy5_rep1
Cy3_AA_Lind_Ctrl_Cy5_Lind_Low_253100010033_1_1.txt	Cy5	Lind	Low	na	Lind_Low_na_Cy5_rep2
Cy3_Esfen_Low_Cy5_Lind_Low_253100010035_1_2.txt	Cy5	Lind	Low	na	Lind_Low_na_Cy5_rep3
Cy3_PCP_High_Cy5_Dino_High_253100010009_2_1.txt	Cy3	PCP	High	na	PCP_High_na_Cy3_rep1
Cy3_PCP_High_Cy5_SDS_High_253100010023_1_3.txt	Cy3	PCP	High	na	PCP_High_na_Cy3_rep2
Cy3_PCP_High_Cy5_SDS_PCP_Ctrl_253100010036_1_2.txt	Cy3	PCP	High	na	PCP_High_na_Cy3_rep3
Cy3_PCP_Low_Cy5_PCP_High_253100010006_2_1.txt	Cy5	PCP	High	na	PCP_High_na_Cy5_rep1
Cy3_SDS_PCP_SC_Cy5_PCP_High_253100010017_2_1.txt	Cy5	PCP	High	na	PCP_High_na_Cy5_rep2
Cy3_Perm_High_Cy5_PCP_High_253100010033_2_2.txt	Cy5	PCP	High	na	PCP_High_na_Cy5_rep3
Cy3_PCP_Low_Cy5_Dino_Low_253100010009_1_4.txt	Cy3	PCP	Low	na	PCP_Low_na_Cy3_rep1
Cy3_PCP_Low_Cy5_PCP_High_253100010006_2_1.txt	Cy3	PCP	Low	na	PCP_Low_na_Cy3_rep2
Cy3_PCP_Low_Cy5_SDS_PCP_SC_253100010023_1_2.txt	Cy3	PCP	Low	na	PCP_Low_na_Cy3_rep3
